gemcode,gemnaam,diflen,foutlen,wozlen,datetime,score
772,Eindhoven,30,0,131024,2019-06-06 16:28:48.569029+02:00,99.9771
230,Elburg,4,0,10990,2019-06-06 16:28:53.773512+02:00,99.9636
114,Emmen,8,4,58027,2019-06-06 16:29:07.780204+02:00,99.9793
388,Enkhuizen,8,0,10405,2019-06-06 16:29:12.328614+02:00,99.9231
153,Enschede,33,0,86662,2019-06-06 16:29:26.946383+02:00,99.9619
232,Epe,8,2,18044,2019-06-06 16:29:32.445044+02:00,99.9446
233,Ermelo,46,0,14302,2019-06-06 16:29:38.148001+02:00,99.6784
777,Etten-Leur,4,4,21474,2019-06-06 16:29:44.696004+02:00,99.9627
779,Geertruidenberg,11,0,11963,2019-06-06 16:29:49.877005+02:00,99.908
1771,Geldrop-Mierlo,2,14,20738,2019-06-06 16:29:55.956176+02:00,99.9228
1652,Gemert-Bakel,0,0,14563,2019-06-06 16:30:04.275356+02:00,100.0
907,Gennep,2,0,8430,2019-06-06 16:30:09.535628+02:00,99.9763
784,Gilze en Rijen,1,0,12763,2019-06-06 16:30:14.531167+02:00,99.9922
1924,Goeree-Overflakkee,11,2,29843,2019-06-06 16:30:24.800607+02:00,99.9564
664,Goes,886,2,20746,2019-06-06 16:30:31.557313+02:00,95.7197
785,Goirle,14,5,11503,2019-06-06 16:30:36.025904+02:00,99.8348
1942,Gooise Meren,11,5,31484,2019-06-06 16:30:44.521396+02:00,99.9492
512,Gorinchem,6,0,19352,2019-06-06 16:30:50.863504+02:00,99.969
513,Gouda,1,6,37601,2019-06-06 16:31:05.169199+02:00,99.9814
786,Grave,54,6,6649,2019-06-06 16:31:10.426030+02:00,99.0976
14,Groningen,872,25,135900,2019-06-06 16:31:53.968309+02:00,99.34
1729,Gulpen-Wittem,0,1,7767,2019-06-06 16:31:59.235460+02:00,99.9871
158,Haaksbergen,8,0,11757,2019-06-06 16:32:04.744058+02:00,99.932
788,Haaren,2,1,6838,2019-06-06 16:32:09.118173+02:00,99.9561
392,Haarlem,138,2,90267,2019-06-06 16:32:36.063830+02:00,99.8449
394,Haarlemmermeer,160,0,77645,2019-06-06 16:33:08.645006+02:00,99.7939
1655,Halderberge,3,7,15584,2019-06-06 16:33:15.116801+02:00,99.9358
160,Hardenberg,850,94,28186,2019-06-06 16:33:23.192669+02:00,96.6508
243,Harderwijk,25,3,23362,2019-06-06 16:33:31.692483+02:00,99.8801
523,Hardinxveld-Giessendam,0,0,8401,2019-06-06 16:33:35.888760+02:00,100.0
72,Harlingen,4,1,9094,2019-06-06 16:33:40.347432+02:00,99.945
244,Hattem,6,1,5815,2019-06-06 16:33:44.268744+02:00,99.8796
396,Heemskerk,733,30,20469,2019-06-06 16:33:51.757246+02:00,96.2724
397,Heemstede,260,0,13306,2019-06-06 16:33:59.019199+02:00,98.046
246,Heerde,333,0,8593,2019-06-06 16:34:03.580769+02:00,96.1248
74,Heerenveen,0,1,27746,2019-06-06 16:34:11.659813+02:00,99.9964
398,Heerhugowaard,845,4,27804,2019-06-06 16:34:18.898562+02:00,96.9465
917,Heerlen,7,28,54047,2019-06-06 16:34:34.186440+02:00,99.9352
1658,Heeze-Leende,1,0,7473,2019-06-06 16:34:38.276271+02:00,99.9866
399,Heiloo,18,0,12582,2019-06-06 16:34:43.146242+02:00,99.8569
163,Hellendoorn,24,5,17627,2019-06-06 16:34:49.247949+02:00,99.8355
530,Hellevoetsluis,0,0,20047,2019-06-06 16:34:55.197766+02:00,100.0
794,Helmond,17,0,48584,2019-06-06 16:35:10.925937+02:00,99.965
531,Hendrik-Ido-Ambacht,4,0,13487,2019-06-06 16:35:15.822196+02:00,99.9703
164,Hengelo,14,0,47214,2019-06-06 16:35:27.565077+02:00,99.9703
1966,Het Hogeland,1201,4,25285,2019-06-06 16:35:36.538936+02:00,95.2343
252,Heumen,87,11,7766,2019-06-06 16:35:41.280494+02:00,98.7381
797,Heusden,937,97,22215,2019-06-06 16:35:47.635346+02:00,95.3455
534,Hillegom,0,0,11569,2019-06-06 16:35:52.679812+02:00,100.0
798,Hilvarenbeek,6,0,7652,2019-06-06 16:35:56.916072+02:00,99.9216
402,Hilversum,8,1,50927,2019-06-06 16:36:06.851410+02:00,99.9823
1963,Hoeksche Waard,13,3,43701,2019-06-06 16:36:18.672564+02:00,99.9634
1735,Hof van Twente,16,4,18748,2019-06-06 16:36:23.932215+02:00,99.8933
1911,Hollands Kroon,3,0,25123,2019-06-06 16:36:30.041888+02:00,99.9881
118,Hoogeveen,24,11,28815,2019-06-06 16:36:37.142794+02:00,99.8785
405,Hoorn,61,0,37961,2019-06-06 16:36:45.727341+02:00,99.8393
1507,Horst aan de Maas,194,45,19999,2019-06-06 16:36:51.717609+02:00,98.8049
321,Houten,5,10,22475,2019-06-06 16:36:58.795338+02:00,99.9333
406,Huizen,417,293,21103,2019-06-06 16:37:05.190245+02:00,96.6355
677,Hulst,130,5,15111,2019-06-06 16:37:10.525692+02:00,99.1066
353,IJsselstein,1,5,15512,2019-06-06 16:37:15.879776+02:00,99.9613
1884,Kaag en Braassem,477,63,13770,2019-06-06 16:37:21.753732+02:00,96.0784
166,Kampen,15,0,26583,2019-06-06 16:37:28.329149+02:00,99.9436
678,Kapelle,10,1,6318,2019-06-06 16:37:32.990363+02:00,99.8259
537,Katwijk,3,1,30234,2019-06-06 16:37:41.137197+02:00,99.9868
928,Kerkrade,0,2,26909,2019-06-06 16:37:48.224760+02:00,99.9926
1598,Koggenland,125,355,11235,2019-06-06 16:37:53.315010+02:00,95.7276
542,Krimpen aan den IJssel,0,0,14633,2019-06-06 16:37:57.950805+02:00,100.0
1931,Krimpenerwaard,7,30,27373,2019-06-06 16:38:04.623122+02:00,99.8648
1659,Laarbeek,3,0,10877,2019-06-06 16:38:08.970334+02:00,99.9724
1685,Landerd,16,0,7274,2019-06-06 16:38:12.961911+02:00,99.78
882,Landgraaf,1,0,19555,2019-06-06 16:38:17.977015+02:00,99.9949
415,Landsmeer,0,0,5483,2019-06-06 16:38:22.046698+02:00,100.0
416,Langedijk,0,1,13900,2019-06-06 16:38:26.557437+02:00,99.9928
1621,Lansingerland,39,22,27953,2019-06-06 16:38:32.349980+02:00,99.7818
417,Laren,84,21,6043,2019-06-06 16:38:36.285312+02:00,98.2625
80,Leeuwarden,240,18,72792,2019-06-06 16:38:55.416874+02:00,99.6456
546,Leiden,99,12,69260,2019-06-06 16:39:10.997316+02:00,99.8397
547,Leiderdorp,1,0,14064,2019-06-06 16:39:15.953361+02:00,99.9929
1916,Leidschendam-Voorburg,16,3,41089,2019-06-06 16:39:24.214130+02:00,99.9538
995,Lelystad,4,2,37514,2019-06-06 16:39:32.112456+02:00,99.984
1640,Leudal,186,13,18269,2019-06-06 16:39:37.146365+02:00,98.9107
327,Leusden,2,2,14734,2019-06-06 16:39:41.814690+02:00,99.9729
1705,Lingewaard,11,26,22029,2019-06-06 16:39:47.582053+02:00,99.832
553,Lisse,109,3,12149,2019-06-06 16:39:51.818375+02:00,99.0781
262,Lochem,2,0,18112,2019-06-06 16:39:56.742113+02:00,99.989
809,Loon op Zand,23,1,11849,2019-06-06 16:40:00.983066+02:00,99.7975
331,Lopik,28,1,6637,2019-06-06 16:40:07.826320+02:00,99.5631
24,Loppersum,38,2,5441,2019-06-06 16:40:11.559467+02:00,99.2648
168,Losser,12,0,10933,2019-06-06 16:40:16.169797+02:00,99.8902
263,Maasdriel,20,0,11526,2019-06-06 16:40:20.412660+02:00,99.8265
1641,Maasgouw,2,0,12497,2019-06-06 16:40:24.662796+02:00,99.984
556,Maassluis,7,0,17540,2019-06-06 16:40:29.227046+02:00,99.9601
935,Maastricht,21,6,70798,2019-06-06 16:40:46.002034+02:00,99.9619
420,Medemblik,495,376,22346,2019-06-06 16:40:51.567597+02:00,96.1022
938,Meerssen,2,1,9500,2019-06-06 16:40:55.625484+02:00,99.9684
