gemcode,gemnaam,diflen,foutlen,wozlen,score,datetime,plaats
1926,Pijnacker-Nootdorp,2,11,23905,99.9456,12-6-2019 14:36,106
1959,Altena,1,13,25634,99.9454,12-6-2019 14:4,107
0072,Harlingen,4,1,9094,99.945,12-6-2019 14:24,108
0293,Westervoort,0,4,7228,99.9447,12-6-2019 14:52,109
0232,Epe,8,2,18044,99.9446,12-6-2019 14:20,110
0166,Kampen,15,0,26582,99.9436,12-6-2019 14:27,111
0285,Voorst,7,0,12346,99.9433,12-6-2019 14:50,112
0301,Zutphen,15,0,26139,99.9426,12-6-2019 14:54,113
0779,Geertruidenberg,7,0,11968,99.9415,12-6-2019 14:20,114
0856,Uden,13,0,21935,99.9407,12-6-2019 14:46,115
1876,Bronckhorst,3,8,18428,99.9403,12-6-2019 14:13,116
0274,Renkum,10,0,16427,99.9391,12-6-2019 14:37,117
1719,Drimmelen,2,6,13140,99.9391,12-6-2019 14:17,117
0448,Texel,7,0,11157,99.9373,12-6-2019 14:45,118
1655,Halderberge,3,7,15585,99.9358,12-6-2019 14:23,119
0614,Westvoorne,2,3,7752,99.9355,12-6-2019 14:52,120
0917,Heerlen,7,28,54047,99.9352,12-6-2019 14:24,121
0569,Nieuwkoop,2,7,13806,99.9348,12-6-2019 14:32,122
0687,Middelburg,13,6,29072,99.9346,12-6-2019 14:31,123
0321,Houten,5,10,22475,99.9333,12-6-2019 14:27,124
0158,Haaksbergen,8,0,11757,99.932,12-6-2019 14:22,125
0865,Vught,9,0,13200,99.9318,12-6-2019 14:50,126
1963,Hoeksche Waard,12,19,43721,99.9291,12-6-2019 14:26,127
0173,Oldenzaal,1,11,16685,99.9281,12-6-2019 14:35,128
0202,Arnhem,3,59,85059,99.9271,12-6-2019 14:10,129
1948,Meierijstad,7,23,40412,99.9258,12-6-2019 14:31,130
0770,Eersel,5,2,9395,99.9255,12-6-2019 14:18,131
0355,Zeist,15,9,32075,99.9252,12-6-2019 14:53,132
0388,Enkhuizen,8,0,10405,99.9231,12-6-2019 14:19,133
1771,Geldrop-Mierlo,2,14,20738,99.9228,12-6-2019 14:20,134
0798,Hilvarenbeek,6,0,7652,99.9216,12-6-2019 14:26,135
0344,Utrecht,32,104,172520,99.9212,12-6-2019 14:48,136
1676,Schouwen-Duiveland,20,0,24587,99.9187,12-6-2019 14:42,137
0221,Doesburg,0,5,6152,99.9187,12-6-2019 14:16,137
0060,Ameland,2,1,3669,99.9182,12-6-2019 14:4,138
0755,Boekel,4,0,4875,99.9179,12-6-2019 14:12,139
0610,Sliedrecht,6,4,12166,99.9178,12-6-2019 14:42,140
0093,Terschelling,3,0,3643,99.9177,12-6-2019 14:45,141
0171,Noordoostpolder,3,18,24584,99.9146,12-6-2019 14:34,142
0629,Wassenaar,1,11,13765,99.9128,12-6-2019 14:51,143
0632,Woerden,2,21,26071,99.9118,12-6-2019 14:53,144
0638,Zoeterwoude,0,4,4486,99.9108,12-6-2019 14:54,145
0109,Coevorden,4,13,18389,99.9076,12-6-2019 14:14,146
0855,Tilburg,33,82,119436,99.9037,12-6-2019 14:46,147
0141,Almelo,33,5,39090,99.9028,12-6-2019 14:3,148
1581,Utrechtse Heuvelrug,23,1,23853,99.8994,12-6-2019 14:48,149
0281,Tiel,12,9,20740,99.8987,12-6-2019 14:45,150
0880,Wormerland,1,8,8547,99.8947,12-6-2019 14:53,151
1735,Hof van Twente,16,4,18748,99.8933,12-6-2019 14:26,152
0180,Staphorst,4,4,7332,99.8909,12-6-2019 14:43,153
0168,Losser,12,0,10934,99.8903,12-6-2019 14:30,154
0363,Amsterdam,390,154,493825,99.8898,12-6-2019 14:9,155
0308,Baarn,15,0,12893,99.8837,12-6-2019 14:10,156
0203,Barneveld,23,10,27832,99.8814,12-6-2019 14:10,157
0384,Diemen,17,4,17573,99.8805,12-6-2019 14:16,158
0244,Hattem,6,1,5816,99.8796,12-6-2019 14:24,159
0299,Zevenaar,26,2,23021,99.8784,12-6-2019 14:54,160
0243,Harderwijk,25,4,23363,99.8759,12-6-2019 14:24,161
0118,Hoogeveen,24,13,28817,99.8716,12-6-2019 14:26,162
0342,Soest,32,0,23972,99.8665,12-6-2019 14:42,163
0717,Veere,22,0,16186,99.8641,12-6-2019 14:48,164
0840,Rucphen,16,0,11704,99.8633,12-6-2019 14:41,165
0399,Heiloo,18,0,12582,99.8569,12-6-2019 14:25,166
0852,Waterland,13,0,8990,99.8554,12-6-2019 14:51,167
0307,Amersfoort,57,59,78974,99.8531,12-6-2019 14:5,168
0815,Mill en Sint Hubert,0,8,5356,99.8506,12-6-2019 14:32,169
0289,Wageningen,0,30,19794,99.8484,12-6-2019 14:51,170
0392,Haarlem,138,2,90268,99.8449,12-6-2019 14:23,171
0597,Ridderkerk,41,0,25698,99.8405,12-6-2019 14:38,172
0546,Leiden,99,12,69260,99.8397,12-6-2019 14:29,173
0405,Hoorn,61,0,37961,99.8393,12-6-2019 14:26,174
0163,Hellendoorn,24,5,17627,99.8355,12-6-2019 14:25,175
0785,Goirle,14,5,11503,99.8348,12-6-2019 14:21,176
0736,De Ronde Venen,39,0,23220,99.832,12-6-2019 14:15,177
1706,Cranendonck,3,15,10536,99.8292,12-6-2019 14:14,178
0879,Zundert,19,0,10995,99.8272,12-6-2019 14:54,179
0263,Maasdriel,20,0,11526,99.8265,12-6-2019 14:30,180
0678,Kapelle,10,1,6318,99.8259,12-6-2019 14:27,181
0756,Boxmeer,27,0,14357,99.8119,12-6-2019 14:12,182
1842,Midden-Delfland,18,0,9355,99.8076,12-6-2019 14:31,183
0373,Bergen (NH.),5,33,19651,99.8066,12-6-2019 14:11,184
1931,Krimpenerwaard,7,47,27418,99.803,12-6-2019 14:28,185
0744,Baarle-Nassau,3,6,4491,99.7996,12-6-2019 14:10,186
0809,Loon op Zand,23,1,11849,99.7975,12-6-2019 14:30,187
0394,Haarlemmermeer,160,0,77649,99.7939,12-6-2019 14:23,188
